"","id","total_votes","x0001e","x0002e","x0003e","x0005e","x0006e","x0007e","x0008e","x0009e","x0010e","x0011e","x0012e","x0013e","x0014e","x0015e","x0016e","x0017e","x0018e","x0019e","x0020e","x0021e","x0022e","x0023e","x0024e","x0025e","x0026e","x0027e","x0029e","x0030e","x0031e","x0033e","x0034e","x0035e","x0036e","x0037e","x0038e","x0039e","x0040e","x0041e","x0042e","x0043e","x0044e","x0045e","x0046e","x0047e","x0048e","x0049e","x0050e","x0051e","x0052e","x0053e","x0054e","x0055e","x0056e","x0057e","x0058e","x0059e","x0060e","x0061e","x0062e","x0064e","x0065e","x0066e","x0067e","x0068e","x0069e","x0071e","x0072e","x0073e","x0074e","x0075e","x0076e","x0077e","x0078e","x0079e","x0080e","x0081e","x0082e","x0083e","x0084e","x0085e","x0086e","x0087e","x0088e","x0089e","c01_001e","c01_002e","c01_003e","c01_004e","c01_005e","c01_006e","c01_007e","c01_008e","c01_009e","c01_010e","c01_011e","c01_012e","c01_013e","c01_014e","c01_015e","c01_016e","c01_017e","c01_018e","c01_019e","c01_020e","c01_021e","c01_022e","c01_023e","c01_024e","c01_025e","c01_026e","c01_027e","income_per_cap_2016","income_per_cap_2017","income_per_cap_2018","income_per_cap_2019","income_per_cap_2020","gdp_2016","gdp_2017","gdp_2018","gdp_2019","gdp_2020","x2013_code"
"id",1,0.0533280750188218,0.0543539608486172,0.0537642152345352,0.0549013671490781,0.0541002049782929,0.0538711301635443,0.05267253781406,0.05420182861826,0.0542099772377311,0.0529098907842078,0.0551244309632348,0.0559442250270031,0.055445107008042,0.0547694702605596,0.0507614492890455,0.0514371422545329,0.0528428677328462,-0.025844140366584,0.0535387008063873,0.0544259254866145,0.0544624255349882,0.0543985365261948,0.0518570276872786,0.0513586000862119,0.0544624255349882,0.0536832855855125,0.0551638254998246,0.0513586000862119,0.0497818203706612,0.0525175790063555,0.0543539608486172,0.0546478830231017,0.0461679552237896,0.0546478830231017,0.0454510707841524,0.0669578943779692,0.00855974946055402,0.0249540346711481,-0.00358225405445194,0.00740665009519528,0.0114690926508644,0.0455600590759146,0.0603179905812279,0.0271113443093018,0.0431392408198455,0.0349164893324672,0.0340410556749145,0.0123942945587025,0.0539510398294186,0.0349667523989418,0.0298881304958034,0.0246834982799232,0.0331255482072179,0.0380108018375391,0.0410798654942444,0.0461679552237896,0.0538071297755312,0.020647067021645,0.0473780809970425,0.0524709266060985,0.0455729552480023,0.0673432164556079,0.0230494191497207,0.047257031042683,0.035616138502706,0.0400528107243008,0.0308028933153361,0.000827771375587681,0.0765943387731154,0.0166817947575221,0.0572762764966132,0.0592275827455373,0.0491402925653483,0.0662100623603293,0.00680054843818697,0.0455012590956354,0.0343143090075417,0.0566852297345494,0.0556425457675951,0.0488498237361145,0.0551892307706631,0.0543523290854623,0.0546535275285323,0.0538832786686493,0.0553273055868417,0.0544908264648261,0.0515626769568448,0.05311966815711,0.0527636536086965,0.0561264221511497,0.054340696762046,0.0406996741020059,0.0510973809809246,0.0562950253036423,0.0477710662722147,0.0511960347450544,0.0541900965745552,0.0563225915624209,0.0549764212124569,0.055372189808877,0.0529098907842078,0.0532828986051363,0.0511091057379706,0.0551244309632348,0.0561727069028671,0.0560212553261197,0.0556227879448789,0.0566037990440287,0.0573562075308502,0.0513586000862119,0.050733033713124,0.0523648045276915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00599939588433372
"total_votes",0.0533280750188218,1,0.990335177316045,0.990511190013901,0.989833726282095,0.974756451748715,0.977615561239785,0.978296535024513,0.982251249812323,0.973920818972321,0.973046296434654,0.985181800595938,0.990559760720086,0.993453591587872,0.993283358085738,0.988170993289165,0.974193555700373,0.970031308411035,-0.179873094647531,0.978686853967093,0.991405007103107,0.991379186688431,0.991393185525496,0.986574742581228,0.983997510094906,0.991379186688431,0.991693196335085,0.990569267410787,0.983997510094906,0.982935940930789,0.983704577924035,0.990335177316045,0.991335837926318,0.901344503709915,0.991335837926318,0.979477262519863,0.739624960012447,0.468224323223991,0.147502402387758,0.111510438336935,0.151474151486435,0.0779586569703365,0.730039437590192,0.729514603821544,0.586712129842227,0.588348813310362,0.300850131702352,0.622649801244291,0.509092673053334,0.783621662320302,0.262173117544403,0.148946359802964,0.567438594140225,0.362559199583761,0.276384267995314,0.800502171754195,0.901344503709915,0.915604695375298,0.800003386609765,0.828569264740396,0.818138298050737,0.979907189456146,0.766061467940711,0.709544857515379,0.740300172963652,0.255663280785497,0.836913615317494,0.793635530995338,0.693690492449775,0.553143034770093,0.237299297363947,0.63658932744013,0.983264898667563,0.962875574318244,0.736473486196558,0.323054113312143,0.72896621365161,0.252827482220917,0.867838646934871,0.877027501884753,0.886828601239794,0.858494251696432,0.987559656493287,0.99403662237607,0.994394496265254,0.992988143952501,0.974436727430933,0.947030580161851,0.964783365778109,0.952904511744727,0.928705394259884,0.991527051412143,0.871407822435851,0.91878054279892,0.960232776059987,0.976426063358075,0.979007366483122,0.980399782071712,0.943265423012051,0.995150897356947,0.970697430194022,0.973046296434654,0.973600052248375,0.919698230683223,0.985181800595938,0.987654598665016,0.960560501151039,0.99331241824395,0.996083350357212,0.973284396235367,0.983997510094906,0.985147306495962,0.970718869281822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.496509986403187
"x0001e",0.0543539608486172,0.990335177316045,1,0.999821263784121,0.999835564922561,0.993541379065234,0.99248805163767,0.992014964745648,0.993120921379913,0.987303873280871,0.989868391005431,0.997010463333709,0.996639948064682,0.995337215510718,0.993908273021446,0.98739463514543,0.975642808882063,0.968768664461626,-0.198300223250941,0.993692207565353,0.999605520276248,0.999468146178396,0.999308436317821,0.986457333084009,0.983803267904126,0.999468146178396,0.999267697084979,0.999135856652368,0.983803267904126,0.980916691181681,0.984919183693691,1,0.999641393325802,0.929054038634726,0.999641393325802,0.973945359575389,0.76852894971288,0.479101969383803,0.153265080512841,0.0977623231308775,0.155012797203213,0.0768381044564792,0.740193367552654,0.725494921035496,0.60718914745828,0.602516884903587,0.313832576414835,0.618139584368326,0.511079854774986,0.790739906488795,0.278121181820488,0.164023173654336,0.580366383925749,0.379552577831732,0.290428040650832,0.849289479363133,0.929054038634726,0.916187824094839,0.796691510048427,0.832268445464868,0.823221346762623,0.977114673481111,0.794077745583437,0.718787915593676,0.750780823293848,0.270849746098918,0.886306153383133,0.844110487651501,0.737171759725903,0.586514049145215,0.257427925229873,0.675215034073311,0.975234366564042,0.937720376272883,0.763417241508536,0.327085243428344,0.738917499814745,0.267898026548784,0.873279495951598,0.878291204588499,0.885931764081939,0.859943161883703,0.993833717301229,0.997691558996705,0.997298695544345,0.997335582995839,0.98699811328827,0.970115469037496,0.97909387169833,0.965494299883816,0.927833434765595,0.998993016664202,0.920045336645429,0.955856539213305,0.973600378679646,0.982233658500581,0.978654390344386,0.976228069362926,0.936460481064035,0.997495453310878,0.965420919867655,0.989868391005431,0.988341948035444,0.927523530883758,0.997010463333709,0.995627818237242,0.95823697940168,0.997065292851122,0.993813346279121,0.961078874059527,0.983803267904126,0.976043718701557,0.956264916835619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.479952271574296
"x0002e",0.0537642152345352,0.990511190013901,0.999821263784121,1,0.999314014338445,0.99331452021936,0.992735925961749,0.992469231198891,0.993516191302039,0.987663875864567,0.989227703570539,0.997033789459013,0.996566791249471,0.994957615137206,0.993355071849271,0.986901470126356,0.974911343314611,0.967691565418565,-0.199523834488152,0.993895947607535,0.999337550003804,0.999178611023976,0.998978148082307,0.985834611960593,0.983160939093093,0.999178611023976,0.999429226369447,0.998424008325139,0.983160939093093,0.980809712840204,0.983864371788953,0.999821263784121,0.999232595055327,0.932067175095131,0.999232595055327,0.975275571915964,0.759734981698767,0.482199891654507,0.153596064096013,0.0981877883209093,0.156664580031494,0.0780698442131301,0.74396765134321,0.727183841743933,0.607973312293519,0.61010090388753,0.317819951843903,0.620537330104154,0.516322160484862,0.791525325084705,0.282893296358269,0.167173181777097,0.589138551320427,0.386237934400133,0.295067129907277,0.848686604872162,0.932067175095131,0.914884635750237,0.801641377911986,0.83735308748645,0.819683347638448,0.97864160284157,0.785693224586159,0.722128808421752,0.754822422933265,0.2752314815751,0.886564465547589,0.845982013477096,0.743081148173694,0.579920384668593,0.255879405124153,0.671604747676658,0.974225801615078,0.938280151467295,0.754722938294158,0.329580517692664,0.742654371077108,0.272759095570757,0.870326405042729,0.881232526662314,0.884184193015822,0.863282444743785,0.992598444184432,0.997346174970284,0.997477106348953,0.996505444572606,0.98736105438941,0.969220459963531,0.980596625289867,0.966189803108695,0.925888707181304,0.998615774714765,0.919442557947794,0.954000677739069,0.971983673420981,0.983483018418008,0.979475335082117,0.976138427992673,0.935615242245648,0.99724646100348,0.965020523452169,0.989227703570539,0.987698404855577,0.925625015926755,0.997033789459013,0.995630480869761,0.958063416907358,0.996802567417856,0.993624326017934,0.961269746805387,0.983160939093093,0.975912552032991,0.956703280798286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.479399242142094
"x0003e",0.0549013671490781,0.989833726282095,0.999835564922561,0.999314014338445,1,0.993425270715193,0.99191695048571,0.991246058755847,0.992408231231385,0.986626964050645,0.990150445463044,0.996653221597432,0.996375373659971,0.995367008041087,0.994105056991172,0.987536022396955,0.976016712362267,0.969476395686112,-0.197059976836098,0.993163033949755,0.999526807716661,0.999410164000117,0.999289596637238,0.986723300596649,0.984088933816039,0.999410164000117,0.998777137822369,0.999483053334238,0.984088933816039,0.980689838146363,0.985600113403629,0.999835564922561,0.999697745750384,0.925851905535732,0.999697745750384,0.972342347606631,0.77670567262586,0.475969639282283,0.152896135749079,0.0973213969244921,0.153376403402255,0.0756308572234467,0.736324603010252,0.723631296816255,0.60623306740527,0.595040204284099,0.309902624985106,0.615632138950584,0.505879970511403,0.789720974263157,0.273450531985242,0.160946710953214,0.57175751481636,0.373012748658183,0.285880850237115,0.849582481595805,0.925851905535732,0.917130072303407,0.791676192367449,0.827111908065162,0.826338368087538,0.975321913301816,0.80185316085415,0.715342033210657,0.746652103194148,0.266555975766433,0.88576070419485,0.842031875643604,0.731256096247101,0.592641455640263,0.258826745822733,0.678451101907034,0.975874190757581,0.936868506228609,0.77150008649457,0.324582009319801,0.735085048521125,0.263145488520468,0.875818681697702,0.875175003034894,0.887310410014523,0.856451413588636,0.994684744619698,0.997687741707473,0.996792605481926,0.997796843846477,0.986318488236561,0.970648093910611,0.977323635269049,0.96450291601682,0.929387112365044,0.999019319198734,0.920314482065703,0.957315567526531,0.97482405748859,0.980705413390721,0.977538267485225,0.975986162120939,0.936956671917126,0.997399246498648,0.965480707250507,0.990150445463044,0.988627254308418,0.929032987119959,0.996653221597432,0.995290860554942,0.958081608921783,0.996982402826789,0.993660853204943,0.96057299619563,0.984088933816039,0.975841702915766,0.955523271379556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.480321514390271
"x0005e",0.0541002049782929,0.974756451748715,0.993541379065234,0.99331452021936,0.993425270715193,1,0.997396624402539,0.994947805791869,0.991711443689747,0.98426467881562,0.986740998603688,0.99233018130532,0.986249429267035,0.981876845140245,0.979596460735536,0.969479231161548,0.955204996388079,0.944775897423195,-0.221728038848669,0.997759639026589,0.990414620646525,0.989963892894245,0.989532900268902,0.967843005629682,0.96429279665664,0.989963892894245,0.989544930790701,0.989841206250381,0.96429279665664,0.960520536121633,0.96611438017075,0.993541379065234,0.99284894456389,0.927697458155472,0.99284894456389,0.961790834017552,0.782562172908916,0.481639761523056,0.154803621800637,0.0987888231708358,0.157478611279746,0.0806515212647024,0.72350799596845,0.708009201917207,0.589485463183637,0.590913588177852,0.305813288073395,0.596482734691096,0.497199484742323,0.791576054095611,0.281334303742582,0.165516073848524,0.582087973518555,0.38361313179074,0.295514154096078,0.855867085550162,0.927697458155472,0.912176603274561,0.79313241362318,0.819670479036106,0.828491245352278,0.965794299441044,0.807024017278316,0.718811578698813,0.735125839205955,0.272784784374482,0.892133985746233,0.851906033310101,0.757304778632917,0.582783744636678,0.2424421428163,0.667417656781002,0.963471068898238,0.919062944207246,0.777337039725918,0.328995560443173,0.722150139400036,0.271180479162582,0.863285320094225,0.871801838858429,0.871389205108371,0.854368612506179,0.982754715709572,0.987486653572818,0.986904319209885,0.987313478540708,0.983542681411694,0.978026710335696,0.980761340557995,0.961320823109058,0.908124007743681,0.988690434213234,0.926440322908413,0.961402564909354,0.96824698689032,0.977574359353138,0.967759422099583,0.959243306218006,0.912077753873247,0.984969251550737,0.945302491864399,0.986740998603688,0.983762785184597,0.912788220269891,0.99233018130532,0.988767844522788,0.942690420184549,0.984967644040975,0.979075719695282,0.939118578215127,0.96429279665664,0.953504505465917,0.927915472160407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.471212978250354
"x0006e",0.0538711301635443,0.977615561239785,0.99248805163767,0.992735925961749,0.99191695048571,0.997396624402539,1,0.998605970225286,0.995140206391524,0.981499198508063,0.978510327871879,0.991087595241399,0.987740303614972,0.982826848551746,0.979581857108599,0.969748112020777,0.953856539522069,0.940445000009432,-0.221277225674729,0.999672291112445,0.988724083997033,0.98805056833909,0.987509552104523,0.967183143229863,0.963472322950115,0.98805056833909,0.988192995721,0.987403083716848,0.963472322950115,0.961241453017025,0.964105114703637,0.99248805163767,0.991871403121127,0.925677095249838,0.991871403121127,0.968295668095912,0.762336559069011,0.490345551737524,0.156934486887843,0.0982460440313467,0.165119045824069,0.0814486622657942,0.718991385024829,0.717454871112864,0.571948788053789,0.587376433085538,0.29883335202173,0.598176528270586,0.500974744196408,0.785084721571866,0.27857222483246,0.16083712724552,0.581790565971137,0.381169530568408,0.295627280124536,0.848233960997494,0.925677095249838,0.910292321866044,0.80477721839162,0.815310444525886,0.821048871495772,0.971741358222322,0.787588378628283,0.726329928667132,0.730414307375113,0.269019753637437,0.886221082069147,0.848766596675975,0.763978739777152,0.567901815318123,0.23353202990117,0.654249696242838,0.963372098906371,0.92739602620657,0.757708780865916,0.338370711955831,0.717684079002128,0.268647393166912,0.85752024517343,0.869795293843267,0.867907664293513,0.852546016760579,0.979461048775284,0.986659552516073,0.986749763259775,0.985864236495727,0.981743452408661,0.979042891801181,0.982204117754702,0.959169788392176,0.899011459453124,0.986765804569088,0.914808263459289,0.952672949248155,0.965697627050629,0.981348315839252,0.971281933568059,0.957891092804214,0.907446364099484,0.984240848267176,0.942596201862904,0.978510327871879,0.975294046651539,0.898047298457231,0.991087595241399,0.987805574742274,0.940396846247191,0.985973895333014,0.981701603079721,0.94302661653496,0.963472322950115,0.955984228104968,0.930026204452913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.479733046740123
"x0007e",0.05267253781406,0.978296535024513,0.992014964745648,0.992469231198891,0.991246058755847,0.994947805791869,0.998605970225286,1,0.996051493410951,0.979994489014436,0.97430723510697,0.989566763131785,0.988907032071224,0.984084900020297,0.98058431724551,0.971352685161154,0.956328276060374,0.942486979146295,-0.214225336544331,0.999308852673106,0.988295593637133,0.987546715702453,0.987005184777925,0.968906664704578,0.965392468884983,0.987546715702453,0.987950935050131,0.986654300701252,0.965392468884983,0.963841359082444,0.965498418641144,0.992014964745648,0.991342606612121,0.926009543893173,0.991342606612121,0.971212511956882,0.749197875322747,0.493448615759964,0.156298467642721,0.0954325360381612,0.169798882342655,0.0800654560333996,0.719333583018937,0.717674044884359,0.564957297208571,0.589568363158137,0.298520700179317,0.606269866832294,0.51159181356147,0.77964623044903,0.275003732673605,0.158126826554359,0.581796035235361,0.378794423089831,0.290320951152943,0.850043718988697,0.926009543893173,0.904521358156721,0.805558407599751,0.815487073996446,0.811437314318359,0.974535047803045,0.774759010119248,0.727418406540847,0.73051127441572,0.265902841712436,0.88870495095495,0.852829869465691,0.772747973762898,0.562621360407283,0.232193850416445,0.650527409551619,0.961069866909674,0.929022955112438,0.744660648027316,0.341391244149467,0.718015322247755,0.264972474358033,0.852157494511123,0.866136872873716,0.865678692230878,0.848821627217935,0.97801022458361,0.98613849549549,0.986555227384421,0.985041215774236,0.98057020896425,0.977877656985946,0.982516984615219,0.958011814316224,0.895011509690673,0.986353665938282,0.915670077304095,0.950988463708101,0.965076940276228,0.982982518641371,0.972638264116033,0.956725762301635,0.905216069699511,0.983837669839258,0.940987006613894,0.97430723510697,0.970916838075569,0.891161312180503,0.989566763131785,0.986007011721722,0.937605599404443,0.987127604938278,0.982915270823261,0.944217189438192,0.965392468884983,0.958612240143747,0.932404914531169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.477384263062122
"x0008e",0.05420182861826,0.982251249812323,0.993120921379913,0.993516191302039,0.992408231231385,0.991711443689747,0.995140206391524,0.996051493410951,1,0.990304025461396,0.976035867505077,0.98854500773533,0.989250714688816,0.98597821473589,0.982873519095907,0.973547086278821,0.95859390976737,0.948109214633277,-0.228990700272561,0.995889178379852,0.990552183316889,0.989966082411875,0.988797858462501,0.971554416847687,0.968073505088981,0.989966082411875,0.990371809982639,0.989070996009653,0.968073505088981,0.966217404482818,0.968411830759847,0.993120921379913,0.992617330799509,0.924700035067609,0.992617330799509,0.975571217746724,0.74829222339476,0.491518526618142,0.155842100810987,0.0943925644738692,0.168638129273117,0.0769615766210894,0.714247475436985,0.713978582328154,0.561416775846025,0.580639906415515,0.294033539158779,0.606436023066969,0.509882954026528,0.774057235721969,0.266482117549327,0.151441807103361,0.574194733622861,0.368836376250383,0.281234761789132,0.842060568215812,0.924700035067609,0.912318366236865,0.804978458717299,0.812193110737241,0.816393125186342,0.97846453841131,0.77437912679706,0.726382993927992,0.725274379266515,0.258712052388031,0.882425636698212,0.849598442599124,0.763571872313283,0.569200462329574,0.237322717907732,0.654375599679773,0.963866518921314,0.935112158196483,0.743634071900107,0.340245052283196,0.712929108113264,0.256429396288534,0.856309574753716,0.864215423634785,0.86884768072372,0.846442647111322,0.98066995433584,0.989348717200274,0.989745743358315,0.988267367953943,0.991856813224227,0.975146815891258,0.986855988862186,0.975853376865815,0.910480333924406,0.987567332221279,0.910480866553344,0.946916355373986,0.964336575362721,0.981053461590407,0.973983624622853,0.960208080560608,0.91380658723913,0.985873682431302,0.946586445200666,0.976035867505077,0.973363321008721,0.898292704121221,0.98854500773533,0.985873563518126,0.940721106456169,0.988318344776148,0.985057903177026,0.949428799661012,0.968073505088981,0.961953327572841,0.939009717501982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.485090497865776
"x0009e",0.0542099772377311,0.973920818972321,0.987303873280871,0.987663875864567,0.986626964050645,0.98426467881562,0.981499198508063,0.979994489014436,0.990304025461396,1,0.981828892066901,0.982277879853848,0.977682842868065,0.975874563856146,0.974638319520391,0.965912487776849,0.952178176064047,0.946498336342769,-0.249332318035485,0.982528065689531,0.986483300762421,0.986356567856171,0.984715533916113,0.964784610932873,0.961585909890983,0.986356567856171,0.986848038845746,0.985383052813828,0.961585909890983,0.958421195570754,0.962941619929794,0.987303873280871,0.986392510074696,0.924957879140211,0.986392510074696,0.96395641625469,0.754721716834289,0.484487142419416,0.154431025204515,0.0955267025192219,0.157338765940742,0.0763706104700746,0.717640356506761,0.694991591123017,0.581504459732869,0.593263309456396,0.311810089275878,0.600475703127967,0.499083233256273,0.772400863760508,0.280092837151316,0.165688451790132,0.58702626493732,0.383616364420011,0.290658837443264,0.840282095681027,0.924957879140211,0.91401824985456,0.801146716980878,0.823382133308969,0.820634407674834,0.967617410669658,0.78088190769645,0.723202077891048,0.730331976398561,0.273532982626071,0.878346045662904,0.842279580850393,0.749302836267753,0.58204306622251,0.236271935915335,0.658661684129146,0.959187112441768,0.924665251371118,0.74926878402233,0.331572191720283,0.716138340587673,0.26991969927059,0.855370927768067,0.871099538531388,0.867381393756986,0.854002496805984,0.978853636186809,0.985448119060625,0.985970658410633,0.984253365826514,0.999611608072866,0.961845106190832,0.985373034721503,0.991263950991011,0.929724656805054,0.982427108338351,0.908491526632644,0.942036359838724,0.954004837531353,0.970373277097772,0.963566474093904,0.958364604103754,0.920138135150841,0.980547107727982,0.948089204429683,0.981828892066901,0.980425554806068,0.917225589615831,0.982277879853848,0.980447244786142,0.940503340656097,0.977880021777586,0.973717949851832,0.940614088477181,0.961585909890983,0.953322968423452,0.936515024136676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.476780110030278
